voter_id,photo_reference,first_name,last_name,age,age_group,gender,district,constituency,polling_station_id,booth_number,registration_status,processing_status,verification_status,verification_timestamp,processing_timestamp,queue_time_minutes,processing_time_minutes,anomaly_type
VOTER004398,synthetic://voter/004398.svg,Kabir,Sen,69,65-74,Male,District-08,CONST-048,PS-048,1,REGISTERED,PENDING,PENDING,,,10.03,0.35,unusually_short_processing
VOTER004555,synthetic://voter/004555.svg,Rohan,Malik,44,35-44,Female,District-05,CONST-005,PS-005,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T14:04:00,42.0,5.14,abnormal_queue_time
VOTER004616,synthetic://voter/004616.svg,Aarav,Joshi,75,75-85,Male,District-06,CONST-016,PS-016,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T14:53:00,7.26,28.0,unusually_long_processing
VOTER005131,synthetic://voter/005131.svg,Aarav,Bose,82,75-85,Female,District-01,CONST-031,PS-031,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T15:14:00,11.56,0.35,unusually_short_processing
VOTER005193,synthetic://voter/005193.svg,Ishaan,Shah,37,35-44,Female,District-03,CONST-043,PS-043,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T13:54:00,18.46,28.0,unusually_long_processing
VOTER005466,synthetic://voter/005466.svg,Ishaan,Iyer,31,25-34,Female,District-06,CONST-016,PS-016,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T16:18:00,42.0,6.33,abnormal_queue_time
VOTER005770,synthetic://voter/005770.svg,Nila,Sen,31,25-34,Female,District-10,CONST-020,PS-020,1,REGISTERED,PENDING,PENDING,,,2.96,28.0,unusually_long_processing
VOTER005864,synthetic://voter/005864.svg,Arun,Kapoor,58,55-64,Female,District-04,CONST-014,PS-014,5,REGISTERED,PROCESSED,PENDING,,2026-01-15T09:47:00,16.09,0.35,unusually_short_processing
VOTER006347,synthetic://voter/006347.svg,Leela,Nair,44,35-44,Female,District-07,CONST-047,PS-047,3,REGISTERED,PENDING,PENDING,,,2.7,28.0,unusually_long_processing
VOTER006377,synthetic://voter/006377.svg,Nila,Iyer,52,45-54,Female,District-07,CONST-027,PS-027,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T08:13:00,42.0,5.49,abnormal_queue_time
VOTER006597,synthetic://voter/006597.svg,Arun,Malik,59,55-64,Male,District-07,CONST-047,PS-047,3,REGISTERED,PENDING,PENDING,,,12.14,0.35,unusually_short_processing
VOTER006924,synthetic://voter/006924.svg,Nila,Malik,63,55-64,Male,District-04,CONST-024,PS-024,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T08:55:00,7.63,28.0,unusually_long_processing
VOTER007288,synthetic://voter/007288.svg,Dev,Malik,78,75-85,Female,District-08,CONST-038,PS-038,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T07:31:00,42.0,5.84,abnormal_queue_time
VOTER007330,synthetic://voter/007330.svg,Ishaan,Das,30,25-34,Female,District-10,CONST-030,PS-030,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T16:10:00,12.39,0.35,unusually_short_processing
VOTER007501,synthetic://voter/007501.svg,Sia,Shah,64,55-64,Female,District-01,CONST-001,PS-001,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T12:08:00,0.2,28.0,unusually_long_processing
VOTER008063,synthetic://voter/008063.svg,Kabir,Roy,23,18-24,Female,District-03,CONST-013,PS-013,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T08:33:00,8.2,0.35,unusually_short_processing
VOTER008078,synthetic://voter/008078.svg,Dev,Mehta,55,55-64,Male,District-08,CONST-028,PS-028,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T12:33:00,4.53,28.0,unusually_long_processing
VOTER008199,synthetic://voter/008199.svg,Ishaan,Bose,41,35-44,Male,District-09,CONST-049,PS-049,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T14:33:00,42.0,6.43,abnormal_queue_time
VOTER008655,synthetic://voter/008655.svg,Mira,Rao,20,18-24,Female,District-05,CONST-005,PS-005,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T09:08:00,10.73,28.0,unusually_long_processing
VOTER008796,synthetic://voter/008796.svg,Arun,Rao,46,45-54,Male,District-06,CONST-046,PS-046,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T17:26:00,7.55,0.35,unusually_short_processing
VOTER009110,synthetic://voter/009110.svg,Mira,Mehta,81,75-85,Male,District-10,CONST-010,PS-010,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T10:20:00,42.0,9.27,abnormal_queue_time
VOTER009232,synthetic://voter/009232.svg,Arun,Roy,51,45-54,Male,District-02,CONST-032,PS-032,3,REGISTERED,PENDING,PENDING,,,5.6,28.0,unusually_long_processing
VOTER009529,synthetic://voter/009529.svg,Dev,Bose,62,55-64,Female,District-09,CONST-029,PS-029,5,REGISTERED,PROCESSED,PENDING,,2026-01-15T09:16:00,4.14,0.35,unusually_short_processing
VOTER009809,synthetic://voter/009809.svg,Ishaan,Mehta,72,65-74,Female,District-09,CONST-009,PS-009,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T13:56:00,0.2,28.0,unusually_long_processing
VOTER010021,synthetic://voter/010021.svg,Dev,Sen,20,18-24,Male,District-01,CONST-021,PS-021,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T10:10:00,42.0,1.98,abnormal_queue_time
VOTER010262,synthetic://voter/010262.svg,Ishaan,Sen,36,35-44,Female,District-02,CONST-012,PS-012,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T11:42:00,8.53,0.35,unusually_short_processing
VOTER010386,synthetic://voter/010386.svg,Kabir,Joshi,21,18-24,Male,District-06,CONST-036,PS-036,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T16:57:00,14.64,28.0,unusually_long_processing
VOTER010932,synthetic://voter/010932.svg,Arun,Joshi,36,35-44,Male,District-02,CONST-032,PS-032,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T13:01:00,42.0,2.2,abnormal_queue_time
VOTER010963,synthetic://voter/010963.svg,Dev,Iyer,22,18-24,Female,District-03,CONST-013,PS-013,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T11:55:00,12.58,28.0,unusually_long_processing
VOTER010995,synthetic://voter/010995.svg,Nila,Kapoor,84,75-85,Male,District-05,CONST-045,PS-045,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T12:33:00,10.09,0.35,unusually_short_processing
VOTER011540,synthetic://voter/011540.svg,Ishaan,Bose,71,65-74,Male,District-10,CONST-040,PS-040,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T12:24:00,7.73,28.0,unusually_long_processing
VOTER011728,synthetic://voter/011728.svg,Rohan,Nair,64,55-64,Male,District-08,CONST-028,PS-028,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T08:35:00,12.27,0.35,unusually_short_processing
VOTER011843,synthetic://voter/011843.svg,Tara,Malik,44,35-44,Male,District-03,CONST-043,PS-043,4,REGISTERED,PENDING,PENDING,,,42.0,4.79,abnormal_queue_time
VOTER012117,synthetic://voter/012117.svg,Rohan,Iyer,70,65-74,Female,District-07,CONST-017,PS-017,3,REGISTERED,PENDING,PENDING,,,11.57,28.0,unusually_long_processing
VOTER012461,synthetic://voter/012461.svg,Arun,Das,64,55-64,Male,District-01,CONST-011,PS-011,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T08:33:00,11.76,0.35,unusually_short_processing
VOTER012694,synthetic://voter/012694.svg,Dev,Kapoor,38,35-44,Female,District-04,CONST-044,PS-044,5,REGISTERED,PENDING,PENDING,,,6.61,28.0,unusually_long_processing
VOTER012754,synthetic://voter/012754.svg,Arun,Sen,44,35-44,Female,District-04,CONST-004,PS-004,3,REGISTERED,PENDING,PENDING,,,42.0,3.48,abnormal_queue_time
VOTER013194,synthetic://voter/013194.svg,Leela,Kapoor,72,65-74,Female,District-04,CONST-044,PS-044,5,REGISTERED,PENDING,PENDING,,,3.61,0.35,unusually_short_processing
VOTER013271,synthetic://voter/013271.svg,Tara,Bose,54,45-54,Female,District-01,CONST-021,PS-021,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T13:53:00,11.63,28.0,unusually_long_processing
VOTER013665,synthetic://voter/013665.svg,Rohan,Mehta,75,75-85,Male,District-05,CONST-015,PS-015,1,REGISTERED,PENDING,PENDING,,,42.0,7.1,abnormal_queue_time
VOTER013848,synthetic://voter/013848.svg,Tara,Malik,28,25-34,Female,District-08,CONST-048,PS-048,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T09:26:00,4.06,28.0,unusually_long_processing
VOTER013927,synthetic://voter/013927.svg,Anika,Sen,53,45-54,Male,District-07,CONST-027,PS-027,2,REGISTERED,PENDING,PENDING,,,13.82,0.35,unusually_short_processing
VOTER014425,synthetic://voter/014425.svg,Sia,Sen,72,65-74,Male,District-05,CONST-025,PS-025,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T11:37:00,14.9,28.0,unusually_long_processing
VOTER014576,synthetic://voter/014576.svg,Anika,Rao,68,65-74,Male,District-06,CONST-026,PS-026,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T10:06:00,42.0,2.75,abnormal_queue_time
VOTER014660,synthetic://voter/014660.svg,Nila,Mehta,84,75-85,Female,District-10,CONST-010,PS-010,1,REGISTERED,PENDING,PENDING,,,4.82,0.35,unusually_short_processing
VOTER015002,synthetic://voter/015002.svg,Dev,Roy,84,75-85,Female,District-02,CONST-002,PS-002,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T16:57:00,7.87,28.0,unusually_long_processing
VOTER015393,synthetic://voter/015393.svg,Sia,Shah,71,65-74,Male,District-03,CONST-043,PS-043,2,REGISTERED,PENDING,PENDING,,,8.78,0.35,unusually_short_processing
VOTER015487,synthetic://voter/015487.svg,Dev,Mehta,80,75-85,Male,District-07,CONST-037,PS-037,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T10:03:00,42.0,7.87,abnormal_queue_time
VOTER015579,synthetic://voter/015579.svg,Kabir,Shah,83,75-85,Female,District-09,CONST-029,PS-029,5,REGISTERED,PENDING,PENDING,,,9.67,28.0,unusually_long_processing
VOTER016126,synthetic://voter/016126.svg,Anika,Kapoor,77,75-85,Female,District-06,CONST-026,PS-026,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T16:44:00,0.2,0.35,unusually_short_processing
VOTER016156,synthetic://voter/016156.svg,Dev,Rao,54,45-54,Female,District-06,CONST-006,PS-006,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T14:49:00,13.45,28.0,unusually_long_processing
VOTER016398,synthetic://voter/016398.svg,Aarav,Rao,40,35-44,Female,District-08,CONST-048,PS-048,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T15:47:00,42.0,10.32,abnormal_queue_time
VOTER016733,synthetic://voter/016733.svg,Aarav,Malik,64,55-64,Male,District-03,CONST-033,PS-033,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T13:22:00,13.25,28.0,unusually_long_processing
VOTER016859,synthetic://voter/016859.svg,Aarav,Iyer,78,75-85,Female,District-09,CONST-009,PS-009,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T08:36:00,11.59,0.35,unusually_short_processing
VOTER017309,synthetic://voter/017309.svg,Ishaan,Rao,58,55-64,Female,District-09,CONST-009,PS-009,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T09:28:00,42.0,7.32,abnormal_queue_time
VOTER017310,synthetic://voter/017310.svg,Tara,Kapoor,26,25-34,Male,District-10,CONST-010,PS-010,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T09:41:00,5.08,28.0,unusually_long_processing
VOTER017592,synthetic://voter/017592.svg,Aarav,Iyer,35,35-44,Female,District-02,CONST-042,PS-042,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T13:15:00,9.5,0.35,unusually_short_processing
VOTER017887,synthetic://voter/017887.svg,Rohan,Joshi,72,65-74,Female,District-07,CONST-037,PS-037,4,REGISTERED,PENDING,PENDING,,,5.69,28.0,unusually_long_processing
VOTER018220,synthetic://voter/018220.svg,Nila,Bose,73,65-74,Male,District-10,CONST-020,PS-020,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T17:57:00,42.0,7.88,abnormal_queue_time
VOTER018325,synthetic://voter/018325.svg,Arun,Nair,21,18-24,Female,District-05,CONST-025,PS-025,2,REGISTERED,PENDING,PENDING,,,8.14,0.35,unusually_short_processing
VOTER018464,synthetic://voter/018464.svg,Anika,Shah,72,65-74,Female,District-04,CONST-014,PS-014,5,REGISTERED,PROCESSED,PENDING,,2026-01-15T16:39:00,14.59,28.0,unusually_long_processing
VOTER019041,synthetic://voter/019041.svg,Dev,Nair,84,75-85,Female,District-01,CONST-041,PS-041,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T15:26:00,7.12,28.0,unusually_long_processing
VOTER019058,synthetic://voter/019058.svg,Ishaan,Joshi,79,75-85,Male,District-08,CONST-008,PS-008,4,REGISTERED,PENDING,PENDING,,,10.19,0.35,unusually_short_processing
VOTER019131,synthetic://voter/019131.svg,Nila,Iyer,28,25-34,Male,District-01,CONST-031,PS-031,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T11:56:00,42.0,6.58,abnormal_queue_time
VOTER019618,synthetic://voter/019618.svg,Anika,Rao,57,55-64,Female,District-08,CONST-018,PS-018,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T14:29:00,7.26,28.0,unusually_long_processing
VOTER019791,synthetic://voter/019791.svg,Ishaan,Nair,54,45-54,Male,District-01,CONST-041,PS-041,2,REGISTERED,PENDING,PENDING,,,11.85,0.35,unusually_short_processing
VOTER020042,synthetic://voter/020042.svg,Nila,Joshi,54,45-54,Male,District-02,CONST-042,PS-042,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T10:29:00,42.0,3.09,abnormal_queue_time
VOTER020195,synthetic://voter/020195.svg,Dev,Kapoor,54,45-54,Female,District-05,CONST-045,PS-045,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T13:57:00,3.49,28.0,unusually_long_processing
VOTER020524,synthetic://voter/020524.svg,Nila,Nair,34,25-34,Male,District-04,CONST-024,PS-024,2,REGISTERED,PENDING,PENDING,,,15.43,0.35,unusually_short_processing
VOTER020772,synthetic://voter/020772.svg,Dev,Mehta,68,65-74,Male,District-02,CONST-022,PS-022,1,REGISTERED,PENDING,PENDING,,,10.47,28.0,unusually_long_processing
VOTER020953,synthetic://voter/020953.svg,Sia,Bose,50,45-54,Female,District-03,CONST-003,PS-003,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T17:50:00,42.0,3.91,abnormal_queue_time
VOTER021257,synthetic://voter/021257.svg,Sia,Roy,56,55-64,Male,District-07,CONST-007,PS-007,2,REGISTERED,PENDING,PENDING,,,6.16,0.35,unusually_short_processing
VOTER021349,synthetic://voter/021349.svg,Rohan,Sen,59,55-64,Male,District-09,CONST-049,PS-049,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T10:54:00,6.57,28.0,unusually_long_processing
VOTER021864,synthetic://voter/021864.svg,Anika,Kapoor,40,35-44,Female,District-04,CONST-014,PS-014,5,REGISTERED,PROCESSED,PENDING,,2026-01-15T12:06:00,42.0,3.75,abnormal_queue_time
VOTER021926,synthetic://voter/021926.svg,Nila,Sen,49,45-54,Female,District-06,CONST-026,PS-026,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T07:32:00,12.68,28.0,unusually_long_processing
VOTER021990,synthetic://voter/021990.svg,Ishaan,Das,72,65-74,Male,District-10,CONST-040,PS-040,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T14:55:00,14.93,0.35,unusually_short_processing
VOTER022503,synthetic://voter/022503.svg,Arun,Kapoor,61,55-64,Female,District-03,CONST-003,PS-003,1,REGISTERED,PENDING,PENDING,,,7.94,28.0,unusually_long_processing
VOTER022723,synthetic://voter/022723.svg,Ishaan,Bose,25,25-34,Female,District-03,CONST-023,PS-023,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T16:06:00,15.74,0.35,unusually_short_processing
VOTER022775,synthetic://voter/022775.svg,Arun,Kapoor,85,75-85,Female,District-05,CONST-025,PS-025,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T10:43:00,42.0,5.38,abnormal_queue_time
VOTER023080,synthetic://voter/023080.svg,Sia,Rao,30,25-34,Female,District-10,CONST-030,PS-030,2,REGISTERED,PENDING,PENDING,,,11.26,28.0,unusually_long_processing
VOTER023456,synthetic://voter/023456.svg,Leela,Bose,32,25-34,Male,District-06,CONST-006,PS-006,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T17:39:00,7.21,0.35,unusually_short_processing
VOTER023657,synthetic://voter/023657.svg,Mira,Nair,63,55-64,Male,District-07,CONST-007,PS-007,2,REGISTERED,PENDING,PENDING,,,9.46,28.0,unusually_long_processing
VOTER023686,synthetic://voter/023686.svg,Sia,Iyer,40,35-44,Male,District-06,CONST-036,PS-036,2,REGISTERED,PENDING,PENDING,,,42.0,7.44,abnormal_queue_time
VOTER024189,synthetic://voter/024189.svg,Rohan,Malik,28,25-34,Male,District-09,CONST-039,PS-039,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T09:35:00,2.29,0.35,unusually_short_processing
VOTER024234,synthetic://voter/024234.svg,Anika,Rao,41,35-44,Female,District-04,CONST-034,PS-034,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T13:41:00,9.59,28.0,unusually_long_processing
VOTER024597,synthetic://voter/024597.svg,Rohan,Sen,58,55-64,Female,District-07,CONST-047,PS-047,3,REGISTERED,PENDING,PENDING,,,42.0,1.33,abnormal_queue_time
VOTER024811,synthetic://voter/024811.svg,Rohan,Joshi,69,65-74,Female,District-01,CONST-011,PS-011,2,REGISTERED,PENDING,PENDING,,,7.81,28.0,unusually_long_processing
VOTER024922,synthetic://voter/024922.svg,Sia,Rao,85,75-85,Male,District-02,CONST-022,PS-022,3,REGISTERED,PENDING,PENDING,,,1.91,0.35,unusually_short_processing
